"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
8,"M>H/","מְאָה ","honderd",,,,,,,,,,,,
1,"M>ZN>/","מֹאזְנֵא ","weegschaal",,,,,,,,,,,,
2,"M>MR/","מֵאמַר ","woord, bevel",,,,,,,,,,,,
7,"M>N/","מָאן ","voorwerp",,,,,,,,,,,,
1,"MGLH/","מְגִלָּה ","rol",,,,,,,,,,,,
1,"MGR[","מגר ",,,,"omverwerpen",,,,,,,,,
1,"MDBX/","מַדְבַּח ","altaar",,,,,,,,,,,,
4,"MDH/","מִדָּה ","bijdrage, belasting",,,,,,,,,,,,
4,"MDWR/","מְדֹור ","verblijfplaats",,,,,,,,,,,,
5,"MDJ/","מָדַי I","Medië",,,,,,,,,,,,
1,"MDJ=/","מָדַי II","Mediër",,,,,,,,,,,,
11,"MDJNH/","מְדִינָה ","provincie, satrapie, stad",,,,,,,,,,,,
14,"MH","מָה ","wat",,,,,,,,,,,,
1,"MWT/","מֹות ","dood",,,,,,,,,,,,
2,"MZWN/","מָזֹון ","voedsel",,,,,,,,,,,,
4,"MX>[","מחא ",,"slaan",,"slaan***",,,,,"vastgeslagen worden",,,,
1,"MXLQH/","מַחְלְקָה ","afdeling",,,,,,,,,,,,
8,"MV>[","מטא ",,"reiken",,,,,,,,,,,
1,"MJC>L/","מִישָׁאֵל ","Misaël",,,,,,,,,,,,
14,"MJCK/","מֵישַׁךְ ","Mesach",,,,,,,,,,,,
2,"ML>[","מלא ",,"(ver)vullen",,,,,,,"vullen",,,,
2,"ML>K/","מַלְאַךְ ","boodschapper, engel",,,,,,,,,,,,
24,"MLH/","מִלָּה ","woord",,,,,,,,,,,,
3,"MLX/","מְלַח ","zout",,,,,,,,,,,,
1,"MLX[","מלח ",,"zout eten",,,,,,,,,,,
180,"MLK/","מֶלֶךְ I","koning",,,,,,,,,,,,
1,"MLK=/","מְלַךְ II","advies",,,,,,,,,,,,
2,"MLKH/","מַלְכָּה ","koningin",,,,,,,,,,,,
57,"MLKW/","מַלְכוּ ","koningschap, koninkrijk, ",,,,,,,,,,,,
5,"MLL[","מלל ",,,,"spreken",,,,,,,,,
119,"MN","מִן I",,,,,,,,,,,,,
10,"MN=","מַן II","wie?, wie dan ook",,,,,,,,,,,,
3,"MN>/","מְנֵא ","mina <gewichtseenheid>",,,,,,,,,,,,
4,"MND</","מַנְדַּע ","kennis",,,,,,,,,,,,
5,"MNH[","מנה ",,"tellen",,"aanstellen",,,,,,,,,
2,"MNXH/","מִנְחָה ","(graan)offer",,,,,,,,,,,,
1,"MNJN/","מִנְיָן ","getal",,,,,,,,,,,,
1,"M<BD/","מַעֲבָד ","werk",,,,,,,,,,,,
1,"M<H/","מְעֵה ","buik",,,,,,,,,,,,
1,"M<L/","מֶעַל ","binnengaan",,,,,,,,,,,,
4,"MR>/","מָרֵא ","heer",,,,,,,,,,,,
1,"MRD/","מְרַד I","opstand",,,,,,,,,,,,
2,"MRD=/","מָרָד II","opstandig",,,,,,,,,,,,
1,"MRV[","מרט ",,,"uitgetrokken worden",,,,,,,,,,
1,"MCH/","מֹשֶׁה ","Mozes",,,,,,,,,,,,
2,"MCX/","מְשַׁח ","olie",,,,,,,,,,,,
6,"MCKB/","מִשְׁכַּב ","bed",,,,,,,,,,,,
1,"MCKN/","מִשְׁכַּן ","verblijfplaats",,,,,,,,,,,,
4,"MCRWQJ/","מַשְׁרֹוקִי ","fluit",,,,,,,,,,,,
1,"MCT>/","מִשְׁתֵּא ","drinkgelag, banket",,,,,,,,,,,,
3,"MTNH/","מַתְּנָה ","geschenk",,,,,,,,,,,,
1,"NB>[","נבא ",,,,,,,,,,"profeteren",,,
1,"NBW>H/","נְבוּאָה ","profetie",,,,,,,,,,,,
31,"NBWKDNYR/","נְבוּכַדְנֶצַּר ","Nebukadnessar",,,,,,,,,,,,
2,"NBZBH/","נְבִזְבָּה ","geschenk",,,,,,,,,,,,
4,"NBJ>/","נְבִיא ","profeet",,,,,,,,,,,,
1,"NBRCH/","נֶבְרְשָׁה ","kandelaar",,,,,,,,,,,,
1,"NGD/","נֶגֶד ","tegenover",,,,,,,,,,,,
1,"NGD[","נגד ",,"stromen",,,,,,,,,,,
1,"NGH/","נְגַהּ ","helderheid",,,,,,,,,,,,
4,"NDB[","נדב ",,,,,,,,,,,,,
2,"NDBK/","נִדְבָּךְ ","laag",,,,,,,,,,,,
1,"NDD[","נדד ",,"vluchten",,,,,,,,,,,
1,"NDNH/","נִדְנֶה ","schede",,,,,,,,,,,,
1,"NHWR/","נְהֹור ","licht",,,,,,,,,,,,
2,"NHJRW/","נַהִירוּ ","verlichting***",,,,,,,,,,,,
15,"NHR/","נְהַר ","rivier, Eufraat",,,,,,,,,,,,
1,"NWD[","נוד ",,"vluchten",,,,,,,,,,,
3,"NWLW/","נְוָלוּ ","puinhoop",,,,,,,,,,,,
17,"NWR/","נוּר ","vuur",,,,,,,,,,,,
4,"NZQ[","נזק ",,"schade lijden",,,"schade toebrengen",,,,,,,,
9,"NXC/","נְחָשׁ ","koper, brons",,,,,,,,,,,,
6,"NXT[","נחת ",,"naar beneden gaan",,,"neerleggen","neerleggen",,"neergelegd worden",,,,,
2,"NVL[","נטל ",,"optillen","opgetild worden",,,,,,,,,,
1,"NVR[","נטר ",,"bewaren",,,,,,,,,,,
2,"NJXWX/","נִיחֹוחַ ","(wierook)offer",,,,,,,,,,,,
2,"NKS/","נְכַס ","bezit",,,,,,,,,,,,
1,"NMR/","נְמַר ","panter",,,,,,,,,,,,
1,"NSX[","נסח ",,,,,,,,,"uitgerukt worden",,,,
1,"NSK/","נְסַךְ ","plengoffer",,,,,,,,,,,,
1,"NSK[","נסך ",,,,"uitgieten",,,,,,,,,
11,"NPL[","נפל ",,"(ten deel) vallen",,,,,,,,,,,
11,"NPQ[","נפק ",,"(naar buiten) gaan",,,"halen uit",,,,,,,,
2,"NPQH/","נִפְקָה ","uitgave",,,,,,,,,,,,
1,"NYBH/","נִצְבָּה ","hardheid",,,,,,,,,,,,
1,"NYX[","נצח ",,,,,,,,,,"zich onderscheiden van (+ 'al)***",,,
3,"NYL[","נצל ",,,,,"redden",,,,,,,,
1,"NQ>/","נְקֵא ","puur",,,,,,,,,,,,
1,"NQC[","נקשׁ ",,"knikken",,,,,,,,,,,
3,"NF>[","נשׂא ",,"nemen, meevoeren",,,,,,,,"zich verheffen",,,
1,"NCJN/","נְשִׁין ","vrouwen",,,,,,,,,,,,
1,"NCMH/","נִשְׁמָה ","levensadem",,,,,,,,,,,,
2,"NCR/","נְשַׁר ","adelaar",,,,,,,,,,,,
3,"NCTWN/","נִשְׁתְּוָן ","decreet",,,,,,,,,,,,
1,"NTJN/","נְתִין ","tempeldienaar",,,,,,,,,,,,
7,"NTN[","נתן ",,"geven",,,,,,,,,,,
1,"NTR[","נתר ",,,,,,"afschudden",,,,,,,
1,"SBL[","סבל ",,,,,,,,,,,,,
1,"SBR[","סבר ",,"van plan zijn",,,,,,,,,,,
12,"SGD[","סגד ",,,,,,,,,,,,,
5,"SGN/","סְגַן ","goeverneur",,,,,,,,,,,,
1,"SGR[","סגר ",,"sluiten",,,,,,,,,,,
3,"SWMPNJH/","סוּמְפֹּנְיָה ","dubbelfluit",,,,,,,,,,,,
5,"SWP/","סֹוף ","einde",,,,,,,,,,,,
2,"SWP[","סוף ",,"ten einde komen",,,"beëindigen",,,,,,,,
8,"SLQ[","סלק ",,"omhooggaan",,,"omhoog brengen",,,"omhooggebracht worden",,,,,
1,"S<D[","סעד ",,,,"helpen",,,,,,,,,
5,"SPR/","סְפַר I","boek",,,,,,,,,,,,
6,"SPR=/","סָפַר II","schrijver",,,,,,,,,,,,
2,"SRBL/","סַרְבָּל ","broek?; mantel?",,,,,,,,,,,,
5,"SRK/","סָרַךְ ","hoge functionaris",,,,,,,,,,,,
1,"STR=[","סתר II",,"verwoesten",,,,,,,,,,,
1,"STR[","סתר I",,,,,,,,,,,,,
7,"<BD/","עֲבֵד ","dienaar",,,,,,,,,,,,
28,"<BD[","עבד ",,"doen, maken",,,,,,,"gedaan worden",,,,
14,"<BD_NGW/","עֲבֵד נְגֹו ","Abednego",,,,,,,,,,,,
6,"<BJDH/","עֲבִידַה ","werk, dienst",,,,,,,,,,,,
14,"<BR/","עֲבַר ","aan de overzijde",,,,,,,,,,,,
35,"<D","עַד ","totdat",,,,,,,,,,,,
9,"<DH[","עדה ",,"weggaan",,,"wegnemen",,,,,,,,
2,"<DW>/","עִדֹּוא ","Iddo",,,,,,,,,,,,
13,"<DN/","עִדָּן ","tijd, jaar",,,,,,,,,,,,
1,"<WD/","עֹוד ","nog",,,,,,,,,,,,
1,"<WJH/","עֲוָיָה ","onrecht",,,,,,,,,,,,
2,"<WP/","עֹוף ","vogel, gevogelte",,,,,,,,,,,,
1,"<WR/","עוּר ","kaf",,,,,,,,,,,,
1,"<Z/","עֵז ","geit",,,,,,,,,,,,
2,"<ZQH/","עִזְקָה ","zegelring",,,,,,,,,,,,
3,"<ZR>/","עֶזְרָא ","Ezra",,,,,,,,,,,,
1,"<ZRJH/","עֲזַרְיָה ","Azarja",,,,,,,,,,,,
1,"<VH/","עֵטָה ","advies",,,,,,,,,,,,
5,"<JN/","עַיִן ","oog",,,,,,,,,,,,
3,"<JR/","עִיר ","waker, engel",,,,,,,,,,,,
104,"<L","עַל ","op, tegen, aangaande",,,,,,,,,,,,
1,"<L>","עֵלָּא ","boven",,,,,,,,,,,,
3,"<LH/","עִלָּה ","voorwendsel",,,,,,,,,,,,
1,"<LWH/","עַלְוָה ","brandoffer",,,,,,,,,,,,
10,"<LJ/","עִלָּי I","hoogste",,,,,,,,,,,,
1,"<LJ=/","עִלִּי II","bovenvertrek",,,,,,,,,,,,
4,"<LJWN/","עֶלְיֹון ","allerhoogste",,,,,,,,,,,,
14,"<LL[","עלל ",,"naar binnengaan",,,"naar binnenbrengen",,,"naar binnengebracht worden",,,,,
20,"<LM/","עָלַם ","eeuwigheid",,,,,,,,,,,,
1,"<LMJ/","עֵלָמִי ","Elamiet",,,,,,,,,,,,
1,"<L</","עֲלַע ","rib",,,,,,,,,,,,
22,"<M","עִם ","met, bij",,,,,,,,,,,,
15,"<M/","עַם ","volk",,,,,,,,,,,,
1,"<MJQ/","עַמִּיק ","diep",,,,,,,,,,,,
1,"<MR/","עֲמַר ","wol",,,,,,,,,,,,
1,"<NH/","עֲנֵה ",,,,,,,,,,,,,
30,"<NH[","ענה ",,"antwoorden, het woord nemen",,,,,,,,,,,
1,"<NN/","עֲנָן ","wolk",,,,,,,,,,,,
4,"<NP/","עֲנַף ","tak",,,,,,,,,,,,
1,"<NC/","עֲנָשׁ ","boete",,,,,,,,,,,,
3,"<PJ/","עֳפִי ","gebladerte",,,,,,,,,,,,
1,"<YJB/","עֲצִיב ","bedroefd",,,,,,,,,,,,
3,"<QR/","עִקַּר ","stronk",,,,,,,,,,,,
1,"<QR[","עקר ",,,,,,,,,,,,"ontworteld worden",
1,"<R/","עָר ","tegenstander",,,,,,,,,,,,
4,"<RB[","ערב ",,,,,,,,,,,,,
1,"<RD/","עֲרָד ","wilde ezel",,,,,,,,,,,,
1,"<RWH/","עַרְוָה ","naaktheid, schande",,,,,,,,,,,,
5,"<FB/","עֲשַׂב ","planten, gras",,,,,,,,,,,,
6,"<FR/","עֲשַׂר ","tien",,,,,,,,,,,,
1,"<FRJN/","עֶשְׂרִין ","twintig",,,,,,,,,,,,
1,"<CT[","עשׁת ",,,,,,,,,,,,,
1,"<TJD/","עֲתִיד ","klaar",,,,,,,,,,,,
3,"<TJQ/","עַתִּיק ","oud",,,,,,,,,,,,
10,"PXH/","פֶּחָה ","goeverneur",,,,,,,,,,,,
1,"PXR/","פֶּחָר ","pottenbakker",,,,,,,,,,,,
1,"PVC/","פְּטַשׁ ",,,,,,,,,,,,,
1,"PLG/","פְּלַג ","helft",,,,,,,,,,,,
1,"PLG[","פלג ",,,,,,,,,,,,,
1,"PLGH/","פְּלֻגָּה ",,,,,,,,,,,,,
10,"PLX[","פלח ",,,,,,,,,,,,,
1,"PLXN/","פָּלְחָן ","dienst",,,,,,,,,,,,
6,"PM/","פֻּם ","maand",,,,,,,,,,,,
2,"PS/","פַּס ","handpalm",,,,,,,,,,,,
4,"PSNTRJN/","פְּסַנְתֵּרִין ","harp?",,,,,,,,,,,,
20,"PRZL/","פַּרְזֶל ","ijzer",,,,,,,,,,,,
6,"PRS/","פָּרַס I","Perzië",,,,,,,,,,,,
2,"PRS=/","פְּרֵס II",,,,,,,,,,,,,
1,"PRS[","פרס ",,,,,,,,,,,,,
1,"PRSJ/","פַּרְסָי ","Pers",,,,,,,,,,,,
1,"PRQ[","פרק ",,"zich ontdoen van",,,,,,,,,,,
1,"PRC[","פרשׁ ",,,,"PTP",,,,,,,,,
3,"PRCGN/","פַּרְשֶׁגֶן ","kopie",,,,,,,,,,,,
31,"PCR/","פְּשַׁר ","uitleg",,,,,,,,,,,,
2,"PCR[","פשׁר ",,"uitleggen",,"uitleggen",,,,,,,,,
6,"PTGM/","פִּתְגָם ","woord, decreet",,,,,,,,,,,,
2,"PTX[","פתח ",,"openen","geopend worden",,,,,,,,,,
2,"PTJ/","פְּתָי ","breedte",,,,,,,,,,,,
10,"YBH[","צבה ",,"willen",,,,,,,,,,,
1,"YBW/","צְבוּ ","ding",,,,,,,,,,,,
5,"YB<[","צבע ",,,,"nat maken, bevochtigen",,,,,,"nat/vochtig worden",,,
2,"YD/","צַד ","kant",,,,,,,,,,,,
1,"YD>","צְדָא ","werkelijk",,,,,,,,,,,,
1,"YDQH/","צִדְקָה ","rechtvaardigheid",,,,,,,,,,,,
3,"YW>R/","צַוַּאר ","nek",,,,,,,,,,,,
2,"YLH[","צלה ",,,,"bidden",,,,,,,,,
4,"YLX[","צלח ",,,,,"succesvol zijn",,,,,,,,
17,"YLM/","צְלֵם ","beeld",,,,,,,,,,,,
1,"YPJR/","צְפִיר ","bok",,,,,,,,,,,,
4,"YPR/","צִפַּר ","vogel",,,,,,,,,,,,
29,"QBL/","קֳבֵל ",,,,,,,,,,,,,
3,"QBL[","קבל ",,,,"ontvangen",,,,,,,,,
13,"QDJC/","קַדִּישׁ ","heilig(e)",,,,,,,,,,,,
42,"QDM/","קֳדָם ","voor",,,,,,,,,,,,
2,"QDMH/","קַדְמָה ",,,,,,,,,,,,,
3,"QDMJ/","קַדְמָי ","eerste",,,,,,,,,,,,
35,"QWM[","קום ",,"(op)staan, blijven bestaan",,"uitvaardigen","oprichten, instellen","oprichten, instellen",,"opgericht worden,",,,,,
7,"QVL[","קטל ",,"doden","gedood worden","doden",,,,,"gedood worden","gedood worden",,,
3,"QVR/","קְטַר ","knoop",,,,,,,,,,,,
1,"QJV/","קַיִט ","zomer",,,,,,,,,,,,
2,"QJM/","קַיָּם I","blijvend",,,,,,,,,,,,
2,"QJM=/","קְיָם II","decreet",,,,,,,,,,,,
7,"QL/","קָל ","stem, geluid",,,,,,,,,,,,
1,"QNH[","קנה ",,"kopen",,,,,,,,,,,
1,"QYP/","קְצַף ","woede",,,,,,,,,,,,
1,"QYP[","קצף ",,"boos worden",,,,,,,,,,,
1,"QYY[","קצץ ",,,,"afhakken",,,,,,,,,
3,"QYT/","קְצָת ",,,,,,,,,,,,,
11,"QR>[","קרא ",,,,,,,,,,,,,
1,"QRB/","קְרָב ","oorlog",,,,,,,,,,,,
9,"QRB[","קרב ",,"naderen",,"offeren","naderbij brengen, offeren",,,,,,,,
9,"QRJH/","קִרְיָה ","stad",,,,,,,,,,,,
14,"QRN/","קֶרֶן ","hoorn",,,,,,,,,,,,
2,"QRY/","קְרַץ ","brok",,,,,,,,,,,,
2,"QCV/","קְשֹׁט ","waarheid",,,,,,,,,,,,
4,"QTRS/","קַתְרֹס ","citer",,,,,,,,,,,,
14,"R>C/","רֵאשׁ ","hoofd, begin",,,,,,,,,,,,
19,"RB/","רַב I","groot",,,,,,,,,,,,
4,"RB=/","רַב II","overste",,,,,,,,,,,,
6,"RBH[","רבה ",,"groeien",,"groot maken",,,,,,,,,
5,"RBW/","רְבוּ I","grootheid",,,,,,,,,,,,
2,"RBW=/","רִבֹּו II","tienduizend",,,,,,,,,,,,
6,"RBJ<J/","רְבִיעָי ","vierde",,,,,,,,,,,,
8,"RBRBNJN/","רַבְרְבָנִין ",,,,,,,,,,,,,
1,"RGZ/","רְגַז ","boosheid",,,,,,,,,,,,
1,"RGZ[","רגז ",,,,,"boos maken",,,,,,,,
7,"RGL/","רְגַל ","voet",,,,,,,,,,,,
3,"RGC[","רגשׁ ",,,,,,,,,,,,,
2,"RW/","רֵו ","verschijning",,,,,,,,,,,,
11,"RWX/","רוּחַ ","wind; geest",,,,,,,,,,,,
5,"RWM/","רוּם ","hoogte",,,,,,,,,,,,
4,"RWM[","רום ",,,,,,,,,,,,,
9,"RZ/","רָז ","geheim",,,,,,,,,,,,
4,"RXWM/","רְחוּם ","Rechum",,,,,,,,,,,,
1,"RXJQ/","רַחִיק ","ver",,,,,,,,,,,,
1,"RXMJN/","רַחֲמִין ",,,,,,,,,,,,,
1,"RXY[","רחץ ",,,,,,,,,"vertrouwen",,,,
1,"RJX/","רֵיחַ ","geur",,,,,,,,,,,,
12,"RMH[","רמה ",,"werpen, neerzetten, opleggen","geworpen worden, neergezet worden",,,,,,,,,,
2,"R<W/","רְעוּ ","wil",,,,,,,,,,,,
6,"R<JWN/","רַעְיֹון ","gedachte",,,,,,,,,,,,
1,"R<NN/","רַעְנַן ","gelukkig",,,,,,,,,,,,
2,"R<<[","רעע ",,"vermalen",,"vermalen",,,,,,,,,
2,"RPS[","רפס ",,"vertrappen",,,,,,,,,,,
7,"RCM[","רשׁם ",,"schrijven","geschreven worden",,,,,,,,,,
6,"C>L[","שׁאל ",,"vragen",,,,,,,,,,,
1,"C>LH/","שְׁאֵלָה ","vraag, kwestie",,,,,,,,,,,,
1,"C>LTJ>L/","שְׁאַלְתִּיאֵל ","Sealtiël",,,,,,,,,,,,
12,"C>R/","שְׁאָר ","rest",,,,,,,,,,,,
5,"FB/","שָׂב ","oude",,,,,,,,,,,,
5,"CBX[","שׁבח ",,,,"prijzen",,,,,,,,,
1,"CBV/","שְׁבַט ","stam",,,,,,,,,,,,
2,"CBJB/","שְׁבִיב ","vlam",,,,,,,,,,,,
4,"FBK>/","שַׂבְּכָא ",,,,,,,,,,,,,
6,"CB</","שְׁבַע ","zeven",,,,,,,,,,,,
5,"CBQ[","שׁבק ",,"(ver)laten",,,,,,,"overgelaten worden",,,,
1,"CBC[","שׁבשׁ ",,,,,,,,,,,,,
3,"FG>[","שׂגא ",,,,,,,,,,,,,
13,"FGJ>/","שַׂגִּיא ","groot, veel",,,,,,,,,,,,
3,"CGL/","שֵׁגַל ",,,,,,,,,,,,,
1,"CDR[","שׁדר ",,,,,,,,,,"proberen",,,
14,"CDRK/","שַׁדְרַךְ ","Sadrach",,,,,,,,,,,,
1,"FHDW/","שָׂהֲדוּ ","getuigenis",,,,,,,,,,,,
2,"CWH[","שׁוה ",,,,,,,,,,,,,
3,"CWR/","שׁוּר ","muur",,,,,,,,,,,,
1,"CWCNKJ/","שׁוּשַׁנְכָי ","*uit Susa",,,,,,,,,,,,
3,"CXT[","שׁחת ",,,,,,,,,,,,,
1,"FVR/","שְׂטַר ",,,,,,,,,,,,,
26,"FJM[","שׂים ",,,,,,,,,,,,,
18,"CKX[","שׁכח ",,,,,"vinden",,,,"gevonden worden",,,,
1,"FKL[","שׂכל ",,,,,,,,,,,,,
3,"FKLTNW/","שָׂכְלְתָנוּ ","inzicht",,,,,,,,,,,,
2,"CKN[","שׁכן ",,"verblijven",,"laten verblijven",,,,,,,,,
1,"CLH/","שְׁלֵה ","op z'n gemak",,,,,,,,,,,,
4,"CLW/","שָׁלוּ ","nalatigheid, achteloosheid",,,,,,,,,,,,
1,"CLWH/","שְׁלֵוָה ","voorspoed",,,,,,,,,,,,
14,"CLX[","שׁלח ",,"sturen","gestuurd worden",,,,,,,,,,
7,"CLV[","שׁלט ",,"heersen",,,"heerser maken",,,,,,,,
14,"CLVN/","שָׁלְטָן I","heerschappij",,,,,,,,,,,,
2,"CLVN=/","שִׁלְטֹן II",,,,,,,,,,,,,
10,"CLJV/","שַׁלִּיט ","machtig(e), ambtenaar, heerser",,,,,,,,,,,,
4,"CLM/","שְׁלָם ","welzijn",,,,,,,,,,,,
3,"CLM[","שׁלם ",,,,,,,,,,,,,
12,"CM/","שֻׁם ","naam",,,,,,,,,,,,
1,"CMD[","שׁמד ",,,,,"uitroeien",,,,,,,,
38,"CMJN/","שְׁמַיִן ","hemel",,,,,,,,,,,,
1,"CMM[","שׁמם ",,,,,,,,,,,,,
9,"CM<[","שׁמע ",,"horen",,,,,,,,"gehoorzamen",,,
2,"CMRJN/","שָׁמְרָיִן ","Samaria",,,,,,,,,,,,
1,"CMC/","שְׁמַשׁ ","zon",,,,,,,,,,,,
1,"CMC[","שׁמשׁ ",,,,"dienen",,,,,,,,,
4,"CMCJ/","שִׁמְשַׁי ","Simsai",,,,,,,,,,,,
3,"CN/","שֵׁן ","tand",,,,,,,,,,,,
1,"FN>[","שׂנא ",,"haten",,,,,,,,,,,
7,"CNH/","שְׁנָה I","jaar",,,,,,,,,,,,
1,"CNH=/","שְׁנָה II","slaap",,,,,,,,,,,,
21,"CNH[","שׁנה ",,"veranderen, anders zijn",,"veranderen","veranderen",,,,,,,,"veranderd zijn"
5,"C<H/","שָׁעָה ","ogenblik",,,,,,,,,,,,
3,"F<R/","שְׂעַר ","haar",,,,,,,,,,,,
1,"CPV[","שׁפט ",,"rechtspreken",,,,,,,,,,,
2,"CPJR/","שַׁפִּיר ","mooi",,,,,,,,,,,,
1,"CPL/","שְׁפַל ","laag",,,,,,,,,,,,
4,"CPL[","שׁפל ",,,,,"verlagen, vernederen",,,,,,,,
3,"CPR[","שׁפר ",,"behagen",,,,,,,,,,,
1,"CPRPR/","שְׁפַרְפָּר ","dageraad",,,,,,,,,,,,
1,"CQ/","שָׁק ","(onder)been",,,,,,,,,,,,
6,"CRH[","שׁרה ",,"losmaken, verblijven",,"beginnen",,,,,,"losgemaakt worden, knikken",,,
3,"CRC/","שְׁרֹשׁ ","wortel",,,,,,,,,,,,
1,"CRCJ/","שְׁרֹשִׁי ","onworteling, uitsluiting",,,,,,,,,,,,
2,"CCBYR/","שֵׁשְׁבַּצַּר ","Sesbassar",,,,,,,,,,,,
2,"CT/","שֵׁת ","zes",,,,,,,,,,,,
5,"CTH[","שׁתה ",,"drinken",,,,,,,,,,,
4,"CTJN/","שִׁתִּין ","zestig",,,,,,,,,,,,
4,"CTR_BWZNJ/","שְׁתַר בֹּוזְנַי ","Setar-Boznai",,,,,,,,,,,,
1,"TBR[","תבר ",,"breekbaar zijn",,,,,,,,,,,
1,"TGMWL/","תַּגְמוּל ",,,,,,,,,,,,,
2,"TDJR/","תְּדִיר ","bestendigheid",,,,,,,,,,,,
8,"TWB[","תוב ",,"terugkeren",,,"terugbrengen",,,,,,,,
1,"TWH[","תְּוַהּ ",,"verschrikt zijn",,,,,,,,,,,
7,"TWR/","תֹּור ","os, stier",,,,,,,,,,,,
5,"TXWT/","תְּחֹות ","onder",,,,,,,,,,,,
1,"TLG/","תְּלַג ","sneeuw",,,,,,,,,,,,
1,"TLJTJ/","תְּלִיתָי ","derde",,,,,,,,,,,,
11,"TLT/","תְּלָת I","drie",,,,,,,,,,,,
3,"TLT=/","תְּלָת II","derde man",,,,,,,,,,,,
2,"TLTJN/","תְּלָתִין ","dertig",,,,,,,,,,,,
4,"TMH","תַּמָּה ","daar",,,,,,,,,,,,
3,"TMH/","תְּמַהּ ","wonder",,,,,,,,,,,,
1,"TNJN/","תִּנְיָן ","tweede",,,,,,,,,,,,
1,"TNJNWT","תִּנְיָנוּת ","ten tweede male, opnieuw",,,,,,,,,,,,
2,"TPTJ/","תִּפְתָּי ",,,,,,,,,,,,,
5,"TQJP/","תַּקִּיף ","sterk",,,,,,,,,,,,
2,"TQL/","תְּקֵל ","shekel",,,,,,,,,,,,
1,"TQL[","תקל ",,,"gewogen worden",,,,,,,,,,
1,"TQN[","תקן ",,,,,,,,,,,,,
1,"TQP/","תְּקֹף I","kracht",,,,,,,,,,,,
1,"TQP=/","תְּקַף II","kracht",,,,,,,,,,,,
5,"TQP[","תקף ",,"sterk zijn/worden",,,,,,,,,,,
4,"TRJN/","תְּרֵין ","twee",,,,,,,,,,,,
2,"TR</","תְּרַע I","poort",,,,,,,,,,,,
1,"TR<=/","תָּרָע II","poortwachter",,,,,,,,,,,,
4,"TTNJ/","תַּתְּנַי ","Tattenai",,,,,,,,,,,,
